Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,10/08/2019,"M1 FINANCE (MOFI ACH        20191007008281  WEB ID: 2561673990",-100.00,ACH_DEBIT,9895.45,,
DEBIT,10/08/2019,"MOATE PLACE COND Assn Dues  17205648        WEB ID: 8887344567",-299.55,ACH_DEBIT,9995.45,,
CHECK,10/08/2019,"CHECK 418  ",-1800.00,CHECK_PAID,10295.00,418,
DEBIT,10/07/2019,"ISP UCIA INT     ACH        888-217-7382    WEB ID: 5330903620",-10.65,ACH_DEBIT,12095.00,,
DEBIT,10/02/2019,"LIBERTY MUTUAL   PAYMENT                    PPD ID: 9267721101",-30.75,ACH_DEBIT,12105.65,,
DEBIT,10/02/2019,"FRONTPOINT SECUR RECEIVABLE                 PPD ID: 1260202317",-38.09,ACH_DEBIT,12136.40,,
DEBIT,10/01/2019,"M1 FINANCE (MOFI ACH        20190930008018  WEB ID: 2561673990",-100.00,ACH_DEBIT,12174.49,,
DEBIT,10/01/2019,"QuickPay with Zelle payment to James Rossini 8703448315",-72.00,QUICKPAY_DEBIT,12274.49,,
CREDIT,10/01/2019,"QuickPay with Zelle payment from KEVIN THULL 8598999475",1050.00,QUICKPAY_CREDIT,12346.49,,
CREDIT,10/01/2019,"QuickPay with Zelle payment from ANDREA R SOPER 8599072774",1050.00,QUICKPAY_CREDIT,11296.49,,
DEBIT,09/30/2019,"Payment to Chase card ending in 7983 09/30",-1256.94,ACCT_XFER,10246.49,,
CREDIT,09/30/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",4681.95,ACH_CREDIT,11503.43,,
CREDIT,09/27/2019,"QuickPay with Zelle payment from BRIAN D BOWSER 8688948375",156.00,QUICKPAY_CREDIT,6821.48,,
DEBIT,09/24/2019,"M1 FINANCE (MOFI ACH        20190923006389  WEB ID: 2561673990",-100.00,ACH_DEBIT,6665.48,,
DEBIT,09/24/2019,"QuickPay with Zelle payment to James Rossini 8676999632",-16.00,QUICKPAY_DEBIT,6765.48,,
DEBIT,09/23/2019,"TIME WARNER CABL CABLE PAY  0014326239  SPA WEB ID: C815015000",-65.99,ACH_DEBIT,6781.48,,
CHECK,09/20/2019,"CHECK 417  ",-1800.00,CHECK_PAID,6847.47,417,
CREDIT,09/20/2019,"HSBCBK SV WEBXFR P2P        IEVGEN MELNYCHU WEB ID: 1770527921",10.00,ACH_CREDIT,8647.47,,
DEBIT,09/18/2019,"CON ED OF NY     INTELL CK                  PPD ID: 2462467002",-106.94,ACH_DEBIT,8637.47,,
DEBIT,09/17/2019,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,8744.41,,
DEBIT,09/17/2019,"M1 FINANCE (MOFI ACH        20190916013952  WEB ID: 2561673990",-100.00,ACH_DEBIT,8754.40,,
DEBIT,09/17/2019,"Online Realtime Transfer to HSBC Direct Savings  8090 transaction#: 8653944617 reference#: 8653944617RX 09/17",-5000.00,ACCT_XFER,8854.40,,
DEBIT,09/16/2019,"MORTGAGE SERV CT MTG PAYMT                  PPD ID: 4222195996",-2207.50,ACH_DEBIT,13854.40,,
DEBIT,09/13/2019,"QuickPay with Zelle payment to James Rossini 8643878300",-50.00,QUICKPAY_DEBIT,16061.90,,
CREDIT,09/13/2019,"Bloomberg LP     PAYROLL                    PPD ID: 1133417984",4843.91,ACH_CREDIT,16111.90,,
DEBIT,09/10/2019,"PAYPAL           INST XFER  EBAY INC        WEB ID: PAYPALSI77",-5.71,ACH_DEBIT,11267.99,,
DEBIT,09/10/2019,"PAYPAL           INST XFER  FOREVERLUX      WEB ID: PAYPALSI77",-59.39,ACH_DEBIT,11273.70,,
DEBIT,09/10/2019,"M1 FINANCE (MOFI ACH        20190909006071  WEB ID: 2561673990",-100.00,ACH_DEBIT,11333.09,,
DEBIT,09/09/2019,"QuickPay with Zelle payment to Guilardo Tinder IG  8623504802",-25.00,QUICKPAY_DEBIT,11433.09,,
DEBIT,09/06/2019,"PAYPAL           INST XFER  GROUPON INC     WEB ID: PAYPALSI77",-36.00,ACH_DEBIT,11458.09,,
DEBIT,09/06/2019,"MOATE PLACE COND Assn Dues  16881833        WEB ID: 8887344567",-299.55,ACH_DEBIT,11494.09,,
DEBIT,09/05/2019,"FID BKG SVC LLC  MONEYLINE                  PPD ID: 0368004600",-2000.00,ACH_DEBIT,11793.64,,
CREDIT,09/05/2019,"VENMO            CASHOUT                    PPD ID: 5264681992",95.00,ACH_CREDIT,13793.64,,
DEBIT,09/04/2019,"M1 FINANCE (MOFI ACH        20190902001067  WEB ID: 2561673990",-100.00,ACH_DEBIT,13698.64,,
DEBIT,09/04/2019,"PAYPAL           INST XFER  KHOLODI         WEB ID: PAYPALSI77",-370.00,ACH_DEBIT,13798.64,,
CREDIT,09/04/2019,"QuickPay with Zelle payment from ANDREA R SOPER 8610769890",100.00,QUICKPAY_CREDIT,14168.64,,
CREDIT,09/04/2019,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",436.50,ACH_CREDIT,14068.64,,
DEBIT,09/03/2019,"LIBERTY MUTUAL   PAYMENT                    PPD ID: 9267721101",-30.75,ACH_DEBIT,13632.14,,
